item	item_index	1	2	3	4	5	model	lang
People see me as a natural leader.	1	0.07511745393276215	0.08454585820436478	0.14009365439414978	0.27711108326911926	0.4231320321559906	joeddav/xlm-roberta-large-xnli	en
I have a natural talent for persuading people.	2	0.027619030326604843	0.13559383153915405	0.06636153906583786	0.5934322476387024	0.17699335515499115	joeddav/xlm-roberta-large-xnli	en
I entertain people with my jokes and stories.	3	0.05459059402346611	0.2582617402076721	0.16589726507663727	0.46605774760246277	0.055192653089761734	joeddav/xlm-roberta-large-xnli	en
Group activities tend to be dull without me.	4	0.07757509499788284	0.189479261636734	0.1835489571094513	0.40075939893722534	0.1486372947692871	joeddav/xlm-roberta-large-xnli	en
I know I’m special because people keep telling me so.	5	0.028900837525725365	0.11695938557386398	0.055762797594070435	0.49056753516197205	0.30780938267707825	joeddav/xlm-roberta-large-xnli	en
I have a number of exceptional qualities.	6	0.11497534811496735	0.20461758971214294	0.09993845969438553	0.4126187264919281	0.1678498536348343	joeddav/xlm-roberta-large-xnli	en
I like to show off every now and then.	7	0.0463888980448246	0.20866833627223969	0.09587446600198746	0.561648964881897	0.08741934597492218	joeddav/xlm-roberta-large-xnli	en
I hate being the center of attention.	8	0.12104401737451553	0.14677613973617554	0.3810153305530548	0.173036590218544	0.17812791466712952	joeddav/xlm-roberta-large-xnli	en
I am just an average person.	9	0.0744258463382721	0.12886174023151398	0.12720684707164764	0.5638790726661682	0.10562649369239807	joeddav/xlm-roberta-large-xnli	en
I’m likely to become a future star in some area.	10	0.017306942492723465	0.06483868509531021	0.04981018975377083	0.6184470057487488	0.2495972365140915	joeddav/xlm-roberta-large-xnli	en
If someone disrespects me, I blast them immediately.	11	0.4104393422603607	0.21712584793567657	0.19876448810100555	0.01689126342535019	0.15677903592586517	joeddav/xlm-roberta-large-xnli	en
I’m easily bored when other people talk.	12	0.135117307305336	0.3125336468219757	0.23698292672634125	0.21264880895614624	0.1027173399925232	joeddav/xlm-roberta-large-xnli	en
It's not wise to let people know your secrets.	13	0.09833436459302902	0.14853231608867645	0.39949318766593933	0.2032884806394577	0.15035167336463928	joeddav/xlm-roberta-large-xnli	en
I like to use clever manipulation to get my way.	14	0.060503486543893814	0.1921008825302124	0.1105094626545906	0.5380167365074158	0.09886939823627472	joeddav/xlm-roberta-large-xnli	en
Whatever it takes, you must get the important people on your side.	15	0.04089438170194626	0.09474612772464752	0.1146770641207695	0.3940390944480896	0.35564330220222473	joeddav/xlm-roberta-large-xnli	en
Avoid conflict with others because they may be useful in the future.	16	0.08286988735198975	0.44409626722335815	0.22152714431285858	0.15864846110343933	0.0928581953048706	joeddav/xlm-roberta-large-xnli	en
It’s wise to collect information that you can use against people later.	17	0.11369432508945465	0.15559706091880798	0.24594761431217194	0.30838823318481445	0.17637284100055695	joeddav/xlm-roberta-large-xnli	en
You should wait for the right time to get back at people.	18	0.11347998678684235	0.13878941535949707	0.35850217938423157	0.2390180081129074	0.15021046996116638	joeddav/xlm-roberta-large-xnli	en
The secret to manipulating people is careful planning.	19	0.05748596787452698	0.17623618245124817	0.2557586431503296	0.34322309494018555	0.16729618608951569	joeddav/xlm-roberta-large-xnli	en
You should be totally honest with everyone you meet.	20	0.05898358300328255	0.017735393717885017	0.06250741332769394	0.018689170479774475	0.8420844674110413	joeddav/xlm-roberta-large-xnli	en
Keep a low profile (stay undercover) if you want to get your way.	21	0.0396556630730629	0.1538633108139038	0.1676855981349945	0.6072031855583191	0.03159228339791298	joeddav/xlm-roberta-large-xnli	en
Flattery is a good way to get people on your side.	22	0.009326737374067307	0.30177587270736694	0.024737754836678505	0.6544204354286194	0.009739304892718792	joeddav/xlm-roberta-large-xnli	en
I love it when a tricky plan succeeds.	23	0.04435918480157852	0.1986566185951233	0.12623092532157898	0.48143482208251953	0.14931844174861908	joeddav/xlm-roberta-large-xnli	en
Most people cannot be fooled by clever words.	24	0.09953822940587997	0.16701287031173706	0.14419765770435333	0.41409608721733093	0.1751551479101181	joeddav/xlm-roberta-large-xnli	en
I’m likely to hurt people who get in my way.	25	0.16004963219165802	0.22567103803157806	0.20396853983402252	0.22400277853012085	0.18630798161029816	joeddav/xlm-roberta-large-xnli	en
I tend to rebel against authorities and their rules.	26	0.342036634683609	0.6461270451545715	0.007953554391860962	0.0013071413850411773	0.0025756382383406162	joeddav/xlm-roberta-large-xnli	en
Casual sex (no commitment) sounds like fun.	27	0.014901445247232914	0.05310557782649994	0.11054179817438126	0.7912445068359375	0.03020671010017395	joeddav/xlm-roberta-large-xnli	en
I avoid dangerous situations.	28	0.1132432222366333	0.19970285892486572	0.3283337950706482	0.20694933831691742	0.15177081525325775	joeddav/xlm-roberta-large-xnli	en
Payback needs to be quick and nasty.	29	0.19503460824489594	0.1847231239080429	0.08890298008918762	0.3257073163986206	0.20563195645809174	joeddav/xlm-roberta-large-xnli	en
People often say I’m out of control.	30	0.10161396861076355	0.7431968450546265	0.05985916405916214	0.05983228608965874	0.03549780324101448	joeddav/xlm-roberta-large-xnli	en
People who mess with me always regret it.	31	0.0679878443479538	0.7082122564315796	0.07933273166418076	0.08139786124229431	0.06306929141283035	joeddav/xlm-roberta-large-xnli	en
I have never gotten into trouble with the law.	32	0.07940194755792618	0.08679469674825668	0.4356038570404053	0.18358366191387177	0.2146158665418625	joeddav/xlm-roberta-large-xnli	en
After having sex with someone, it’s not necessary to stay in touch.	33	0.0696243941783905	0.07826925069093704	0.6442468166351318	0.13126228749752045	0.076597198843956	joeddav/xlm-roberta-large-xnli	en
I’ll say anything to get what I want.	34	0.01442882139235735	0.018188059329986572	0.017764590680599213	0.6430000066757202	0.30661845207214355	joeddav/xlm-roberta-large-xnli	en
If I can get something without effort, I grab it.	35	0.01275272574275732	0.04870256781578064	0.02828347682952881	0.8060862421989441	0.10417500138282776	joeddav/xlm-roberta-large-xnli	en
I have been in more physical fights than most people.	36	0.16471430659294128	0.3170144259929657	0.2072492241859436	0.1897740215063095	0.12124807387590408	joeddav/xlm-roberta-large-xnli	en
It’s true that I can be mean to others.	37	0.10040109604597092	0.5698928833007812	0.02318987436592579	0.22527708113193512	0.08123909682035446	joeddav/xlm-roberta-large-xnli	en
I really enjoy violent films and video games.	38	0.06481482088565826	0.14673559367656708	0.14865726232528687	0.37954896688461304	0.26024341583251953	joeddav/xlm-roberta-large-xnli	en
I like to troll people on internet sites.	39	0.05048138648271561	0.8259851336479187	0.07717349380254745	0.03046334721148014	0.01589660532772541	joeddav/xlm-roberta-large-xnli	en
I like playing nasty pranks on people.	40	0.10211396962404251	0.2760896384716034	0.1976364254951477	0.25082260370254517	0.1733373999595642	joeddav/xlm-roberta-large-xnli	en
It’s funny to mock someone and watch them get upset.	41	0.1053181141614914	0.6303070187568665	0.0928138941526413	0.14462974667549133	0.02693120762705803	joeddav/xlm-roberta-large-xnli	en
It’s funny when losers fall flat on their face.	42	0.08645077794790268	0.6031966805458069	0.03791449964046478	0.2521517872810364	0.020286275073885918	joeddav/xlm-roberta-large-xnli	en
Watching a fist-fight excites me.	43	0.1556340754032135	0.24083444476127625	0.1189347431063652	0.27591580152511597	0.20868095755577087	joeddav/xlm-roberta-large-xnli	en
I would not purposely hurt anyone’s feelings.	44	0.09191906452178955	0.12401719391345978	0.23997461795806885	0.43137580156326294	0.11271333694458008	joeddav/xlm-roberta-large-xnli	en
I enjoy watching violent sports.	45	0.13632452487945557	0.2147744596004486	0.1125636026263237	0.3047722578048706	0.23156516253948212	joeddav/xlm-roberta-large-xnli	en
Being mean to others can be amusing.	46	0.07286499440670013	0.4015832245349884	0.07411486655473709	0.4128166735172272	0.0386202372610569	joeddav/xlm-roberta-large-xnli	en
Stealing someone else’s romantic partner would be fun.	47	0.03326839953660965	0.36833423376083374	0.08026434481143951	0.46476227045059204	0.05337074398994446	joeddav/xlm-roberta-large-xnli	en
I know how to hurt someone with words alone.	48	0.1807677298784256	0.33456286787986755	0.17854851484298706	0.15235723555088043	0.1537635773420334	joeddav/xlm-roberta-large-xnli	en
People see me as a natural leader.	1	0.025058995932340622	0.12075568735599518	0.022620661184191704	0.4196378290653229	0.4119267761707306	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I have a natural talent for persuading people.	2	0.015247629955410957	0.18523798882961273	0.014556260779500008	0.5887846350669861	0.1961735188961029	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I entertain people with my jokes and stories.	3	0.026239333674311638	0.4880252778530121	0.03808474913239479	0.3328418731689453	0.1148088127374649	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Group activities tend to be dull without me.	4	0.1125909760594368	0.4032512903213501	0.21341444551944733	0.24626299738883972	0.024480320513248444	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I know I’m special because people keep telling me so.	5	0.07660433650016785	0.24287103116512299	0.024036593735218048	0.2695484161376953	0.3869395852088928	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I have a number of exceptional qualities.	6	0.09177055954933167	0.25625932216644287	0.1688416302204132	0.2659565210342407	0.21717196702957153	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I like to show off every now and then.	7	0.04212752357125282	0.3657560348510742	0.05747392028570175	0.34675508737564087	0.18788743019104004	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I hate being the center of attention.	8	0.4463823735713959	0.3388466238975525	0.08088666945695877	0.09237179905176163	0.041512664407491684	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I am just an average person.	9	0.08758120238780975	0.2333688586950302	0.24282842874526978	0.3122420907020569	0.12397944182157516	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I’m likely to become a future star in some area.	10	0.026340020820498466	0.2414797991514206	0.04052579030394554	0.35157573223114014	0.3400786519050598	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
If someone disrespects me, I blast them immediately.	11	0.5156993269920349	0.2611892819404602	0.09396565705537796	0.04445318877696991	0.08469262719154358	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I’m easily bored when other people talk.	12	0.17046542465686798	0.3573678433895111	0.226811945438385	0.18587510287761688	0.05947969853878021	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
It's not wise to let people know your secrets.	13	0.12091140449047089	0.43979617953300476	0.31421127915382385	0.09764048457145691	0.02744073048233986	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I like to use clever manipulation to get my way.	14	0.07998720556497574	0.47900667786598206	0.044754888862371445	0.30880218744277954	0.08744902163743973	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whatever it takes, you must get the important people on your side.	15	0.04867222532629967	0.4324560761451721	0.06654014438390732	0.31401526927948	0.13831622898578644	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Avoid conflict with others because they may be useful in the future.	16	0.034089699387550354	0.5408328175544739	0.0648820623755455	0.3298685550689697	0.03032688796520233	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
It’s wise to collect information that you can use against people later.	17	0.12988509237766266	0.6342653632164001	0.061590325087308884	0.13251625001430511	0.04174292832612991	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
You should wait for the right time to get back at people.	18	0.10615711659193039	0.5985870361328125	0.050504203885793686	0.19142897427082062	0.05332266911864281	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
The secret to manipulating people is careful planning.	19	0.10614383220672607	0.40180668234825134	0.18947511911392212	0.22808624804019928	0.0744880735874176	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
You should be totally honest with everyone you meet.	20	0.044907741248607635	0.2565753161907196	0.05398586764931679	0.4712512493133545	0.1732797473669052	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Keep a low profile (stay undercover) if you want to get your way.	21	0.11752498894929886	0.5226348042488098	0.05977802351117134	0.2806871235370636	0.019375046715140343	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Flattery is a good way to get people on your side.	22	0.08388622850179672	0.8217046856880188	0.025954199954867363	0.05383630841970444	0.014618613757193089	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I love it when a tricky plan succeeds.	23	0.024859942495822906	0.11474361270666122	0.04046384617686272	0.16245965659618378	0.6574729084968567	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Most people cannot be fooled by clever words.	24	0.07281899452209473	0.3756091594696045	0.20890061557292938	0.24808502197265625	0.09458629041910172	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I’m likely to hurt people who get in my way.	25	0.16493210196495056	0.5189895629882812	0.14408516883850098	0.12358879297971725	0.04840444028377533	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I tend to rebel against authorities and their rules.	26	0.4962480068206787	0.4408743679523468	0.027751127257943153	0.027204927057027817	0.007921569049358368	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Casual sex (no commitment) sounds like fun.	27	0.044583506882190704	0.44991353154182434	0.03755012899637222	0.4201327860355377	0.0478200688958168	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I avoid dangerous situations.	28	0.13363192975521088	0.3246176838874817	0.1010727733373642	0.2885960638523102	0.15208151936531067	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Payback needs to be quick and nasty.	29	0.3029753863811493	0.4788590967655182	0.03977617993950844	0.10762668401002884	0.07076260447502136	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
People often say I’m out of control.	30	0.3052051067352295	0.5035193562507629	0.048174962401390076	0.12010826170444489	0.022992294281721115	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
People who mess with me always regret it.	31	0.19070179760456085	0.5215551853179932	0.11568247526884079	0.13652390241622925	0.03553667291998863	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I have never gotten into trouble with the law.	32	0.04247918725013733	0.2831229269504547	0.27597397565841675	0.2886863350868225	0.10973753035068512	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
After having sex with someone, it’s not necessary to stay in touch.	33	0.09095414727926254	0.4218273162841797	0.15518292784690857	0.24411620199680328	0.08791940659284592	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I’ll say anything to get what I want.	34	0.036646366119384766	0.17884768545627594	0.05553799867630005	0.41047635674476624	0.3184916377067566	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
If I can get something without effort, I grab it.	35	0.03979690745472908	0.22545583546161652	0.14747828245162964	0.3558298647403717	0.23143920302391052	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I have been in more physical fights than most people.	36	0.18301235139369965	0.5348262190818787	0.09215260297060013	0.11032126098871231	0.07968754321336746	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
It’s true that I can be mean to others.	37	0.3298979103565216	0.5107543468475342	0.04664893448352814	0.09162725508213043	0.021071629598736763	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I really enjoy violent films and video games.	38	0.13150261342525482	0.25160402059555054	0.041860003024339676	0.18957538902759552	0.38545799255371094	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I like to troll people on internet sites.	39	0.2011413723230362	0.6016839146614075	0.07641281187534332	0.08655857294797897	0.034203290939331055	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I like playing nasty pranks on people.	40	0.1708037257194519	0.4805833399295807	0.09220274537801743	0.15871259570121765	0.09769754856824875	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
It’s funny to mock someone and watch them get upset.	41	0.12534469366073608	0.7453504800796509	0.053894855082035065	0.06245211884379387	0.012957942672073841	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
It’s funny when losers fall flat on their face.	42	0.11020122468471527	0.6314423680305481	0.09742400795221329	0.13647745549678802	0.024454887956380844	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Watching a fist-fight excites me.	43	0.11335871368646622	0.6386484503746033	0.01602429896593094	0.15534864366054535	0.07661988586187363	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I would not purposely hurt anyone’s feelings.	44	0.09375195950269699	0.41552138328552246	0.2213917374610901	0.23364806175231934	0.035686857998371124	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I enjoy watching violent sports.	45	0.07452112436294556	0.3338024318218231	0.03456513583660126	0.252610981464386	0.3045003414154053	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Being mean to others can be amusing.	46	0.22769717872142792	0.6475644707679749	0.017778094857931137	0.08771296590566635	0.0192472655326128	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Stealing someone else’s romantic partner would be fun.	47	0.09268797934055328	0.6114051938056946	0.08935531228780746	0.1562989503145218	0.05025260150432587	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
I know how to hurt someone with words alone.	48	0.16272512078285217	0.5103145241737366	0.16825787723064423	0.12756596505641937	0.031136438250541687	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
People see me as a natural leader.	1	0.014688306488096714	0.12299956381320953	0.049294762313365936	0.3478322923183441	0.46518510580062866	facebook/bart-large-mnli	en
I have a natural talent for persuading people.	2	0.029574071988463402	0.15336881577968597	0.021371345967054367	0.39323511719703674	0.40245068073272705	facebook/bart-large-mnli	en
I entertain people with my jokes and stories.	3	0.10074136406183243	0.31915146112442017	0.07433623820543289	0.3293245732784271	0.17644645273685455	facebook/bart-large-mnli	en
Group activities tend to be dull without me.	4	0.19544042646884918	0.48381707072257996	0.04403781145811081	0.19210763275623322	0.0845971405506134	facebook/bart-large-mnli	en
I know I’m special because people keep telling me so.	5	0.08266706019639969	0.2645447552204132	0.01680540293455124	0.26231396198272705	0.373668909072876	facebook/bart-large-mnli	en
I have a number of exceptional qualities.	6	0.04617974907159805	0.14928089082241058	0.037545640021562576	0.36322784423828125	0.40376585721969604	facebook/bart-large-mnli	en
I like to show off every now and then.	7	0.07932395488023758	0.23403827846050262	0.05229668319225311	0.3894596993923187	0.24488133192062378	facebook/bart-large-mnli	en
I hate being the center of attention.	8	0.382486492395401	0.4423350691795349	0.0368269681930542	0.10808467864990234	0.030266743153333664	facebook/bart-large-mnli	en
I am just an average person.	9	0.05176788941025734	0.44967177510261536	0.07886788249015808	0.3763923943042755	0.043300095945596695	facebook/bart-large-mnli	en
I’m likely to become a future star in some area.	10	0.08578493446111679	0.26384133100509644	0.022046172991394997	0.23585276305675507	0.39247480034828186	facebook/bart-large-mnli	en
If someone disrespects me, I blast them immediately.	11	0.555665135383606	0.2896473705768585	0.032713111490011215	0.029361674562096596	0.09261267632246017	facebook/bart-large-mnli	en
I’m easily bored when other people talk.	12	0.2419271171092987	0.5527507662773132	0.06576040387153625	0.11304382234811783	0.026517897844314575	facebook/bart-large-mnli	en
It's not wise to let people know your secrets.	13	0.19811628758907318	0.555656909942627	0.05498393252491951	0.14472825825214386	0.04651457816362381	facebook/bart-large-mnli	en
I like to use clever manipulation to get my way.	14	0.20953629910945892	0.3782970905303955	0.04472492262721062	0.1928333342075348	0.17460837960243225	facebook/bart-large-mnli	en
Whatever it takes, you must get the important people on your side.	15	0.2325987070798874	0.4095257818698883	0.02859741821885109	0.15925034880638123	0.1700277179479599	facebook/bart-large-mnli	en
Avoid conflict with others because they may be useful in the future.	16	0.1126030758023262	0.590140700340271	0.10912483185529709	0.16078585386276245	0.027345523238182068	facebook/bart-large-mnli	en
It’s wise to collect information that you can use against people later.	17	0.17030848562717438	0.4640863835811615	0.03001408651471138	0.20835059881210327	0.127240389585495	facebook/bart-large-mnli	en
You should wait for the right time to get back at people.	18	0.24893860518932343	0.5684013962745667	0.07148278504610062	0.07034766674041748	0.04082949459552765	facebook/bart-large-mnli	en
The secret to manipulating people is careful planning.	19	0.23040813207626343	0.3557772636413574	0.03954719379544258	0.19498389959335327	0.1792835146188736	facebook/bart-large-mnli	en
You should be totally honest with everyone you meet.	20	0.0935785248875618	0.2799457013607025	0.16389571130275726	0.19027262926101685	0.272307425737381	facebook/bart-large-mnli	en
Keep a low profile (stay undercover) if you want to get your way.	21	0.12445476651191711	0.5722933411598206	0.04660607501864433	0.22656817734241486	0.03007768653333187	facebook/bart-large-mnli	en
Flattery is a good way to get people on your side.	22	0.02476871758699417	0.13027144968509674	0.0676235780119896	0.3948473334312439	0.3824889063835144	facebook/bart-large-mnli	en
I love it when a tricky plan succeeds.	23	0.05561674386262894	0.2800760865211487	0.04325777292251587	0.22858920693397522	0.3924601674079895	facebook/bart-large-mnli	en
Most people cannot be fooled by clever words.	24	0.27977094054222107	0.3632274568080902	0.16320708394050598	0.10070598125457764	0.0930885449051857	facebook/bart-large-mnli	en
I’m likely to hurt people who get in my way.	25	0.27536773681640625	0.5111100673675537	0.03856448829174042	0.09664272516965866	0.07831498235464096	facebook/bart-large-mnli	en
I tend to rebel against authorities and their rules.	26	0.4395780563354492	0.4977840483188629	0.05037238448858261	0.00778276938945055	0.004482797812670469	facebook/bart-large-mnli	en
Casual sex (no commitment) sounds like fun.	27	0.03595017269253731	0.2919614911079407	0.04857248812913895	0.4188883602619171	0.2046273946762085	facebook/bart-large-mnli	en
I avoid dangerous situations.	28	0.17723348736763	0.4292545020580292	0.07741820812225342	0.2030695080757141	0.11302430927753448	facebook/bart-large-mnli	en
Payback needs to be quick and nasty.	29	0.48604175448417664	0.3541797995567322	0.03631095588207245	0.026349805295467377	0.09711771458387375	facebook/bart-large-mnli	en
People often say I’m out of control.	30	0.36410069465637207	0.5099422931671143	0.04214330390095711	0.05919122323393822	0.02462243288755417	facebook/bart-large-mnli	en
People who mess with me always regret it.	31	0.2896360158920288	0.4175352454185486	0.07340434193611145	0.1231461763381958	0.09627819806337357	facebook/bart-large-mnli	en
I have never gotten into trouble with the law.	32	0.12840108573436737	0.33967724442481995	0.1816597282886505	0.22547675669193268	0.12478519231081009	facebook/bart-large-mnli	en
After having sex with someone, it’s not necessary to stay in touch.	33	0.14725874364376068	0.5381799340248108	0.0665137991309166	0.2069847285747528	0.04106280207633972	facebook/bart-large-mnli	en
I’ll say anything to get what I want.	34	0.21410176157951355	0.3520505428314209	0.08702020347118378	0.1525978147983551	0.19422978162765503	facebook/bart-large-mnli	en
If I can get something without effort, I grab it.	35	0.1269409954547882	0.4046829342842102	0.05327935144305229	0.2220182567834854	0.19307848811149597	facebook/bart-large-mnli	en
I have been in more physical fights than most people.	36	0.29420608282089233	0.4311225116252899	0.029841769486665726	0.1309860497713089	0.11384359747171402	facebook/bart-large-mnli	en
It’s true that I can be mean to others.	37	0.1641760617494583	0.6638513803482056	0.03544054180383682	0.06182759627699852	0.07470448315143585	facebook/bart-large-mnli	en
I really enjoy violent films and video games.	38	0.06762805581092834	0.3045649826526642	0.031201792880892754	0.27268078923225403	0.32392439246177673	facebook/bart-large-mnli	en
I like to troll people on internet sites.	39	0.2625988721847534	0.4528912305831909	0.17147113382816315	0.058737095445394516	0.054301656782627106	facebook/bart-large-mnli	en
I like playing nasty pranks on people.	40	0.1971272975206375	0.4643692672252655	0.055908311158418655	0.1515960842370987	0.13099899888038635	facebook/bart-large-mnli	en
It’s funny to mock someone and watch them get upset.	41	0.2859519422054291	0.560126006603241	0.043984558433294296	0.06437540054321289	0.04556207358837128	facebook/bart-large-mnli	en
It’s funny when losers fall flat on their face.	42	0.2820078432559967	0.4790562093257904	0.03799612447619438	0.14848391711711884	0.052455902099609375	facebook/bart-large-mnli	en
Watching a fist-fight excites me.	43	0.17697599530220032	0.3298530578613281	0.01902177929878235	0.18685492873191833	0.2872941792011261	facebook/bart-large-mnli	en
I would not purposely hurt anyone’s feelings.	44	0.16373410820960999	0.4631268382072449	0.17587527632713318	0.16367967426776886	0.03358414024114609	facebook/bart-large-mnli	en
I enjoy watching violent sports.	45	0.08476576954126358	0.34129834175109863	0.03982943668961525	0.30262884497642517	0.2314775288105011	facebook/bart-large-mnli	en
Being mean to others can be amusing.	46	0.28432732820510864	0.5499177575111389	0.04824415594339371	0.050567876547575	0.06694290786981583	facebook/bart-large-mnli	en
Stealing someone else’s romantic partner would be fun.	47	0.1499454379081726	0.41706380248069763	0.021318664774298668	0.2839096486568451	0.1277623474597931	facebook/bart-large-mnli	en
